,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-09-01,0.2782,0.295,0.2728,0.2943,0.2943,1077645215
1,2021-09-02,0.2944,0.31,0.2917,0.2947,0.2947,1859879704
2,2021-09-03,0.2946,0.3047,0.287,0.2961,0.2961,1248795134
3,2021-09-04,0.2961,0.3087,0.2929,0.2992,0.2992,1170386591
4,2021-09-05,0.2993,0.3155,0.296,0.3143,0.3143,1273101183
5,2021-09-06,0.3144,0.3199,0.2997,0.309,0.309,1327741283
6,2021-09-07,0.3091,0.3114,0.2145,0.2552,0.2552,4143609594
7,2021-09-08,0.2553,0.2635,0.2332,0.2567,0.2567,2036725778
8,2021-09-09,0.2566,0.2597,0.2486,0.2525,0.2525,972908690
9,2021-09-10,0.2525,0.262,0.2353,0.2397,0.2397,1039971873
10,2021-09-11,0.2398,0.2479,0.2376,0.241,0.241,574961334
11,2021-09-12,0.241,0.2551,0.2387,0.2502,0.2502,824439503
12,2021-09-13,0.2504,0.2523,0.2281,0.2358,0.2358,1194502511
13,2021-09-14,0.2359,0.2417,0.2335,0.2406,0.2406,600777341
14,2021-09-15,0.2406,0.2484,0.2388,0.2476,0.2476,624731884
15,2021-09-16,0.2477,0.2479,0.2329,0.2418,0.2418,767085717
16,2021-09-17,0.2419,0.2599,0.2373,0.2401,0.2401,1532347235
17,2021-09-18,0.2401,0.2474,0.2379,0.2413,0.2413,532008968
18,2021-09-19,0.2414,0.2415,0.2307,0.2331,0.2331,486273037
19,2021-09-20,0.2331,0.2335,0.1988,0.2086,0.2086,1842218251
20,2021-09-21,0.2086,0.2185,0.1976,0.2009,0.2009,1475472637
21,2021-09-22,0.2008,0.2304,0.1999,0.2245,0.2245,1505717159
22,2021-09-23,0.2244,0.2273,0.2175,0.2246,0.2246,809134784
23,2021-09-24,0.2245,0.2291,0.1965,0.2091,0.2091,1446332143
24,2021-09-25,0.2092,0.214,0.2043,0.2083,0.2083,648108334
25,2021-09-26,0.2084,0.2089,0.194,0.205,0.205,778024870
26,2021-09-27,0.205,0.2093,0.1996,0.1997,0.1997,447272392
27,2021-09-28,0.1998,0.2027,0.196,0.1965,0.1965,478010126
28,2021-09-29,0.1966,0.2043,0.1946,0.1987,0.1987,508197881
29,2021-09-30,0.1987,0.206,0.1976,0.2042,0.2042,525345573
30,2021-10-01,0.2043,0.2253,0.2018,0.2226,0.2226,1029403020
31,2021-10-02,0.2227,0.225,0.2151,0.2185,0.2185,726979560
32,2021-10-03,0.2186,0.2266,0.2155,0.2218,0.2218,697996641
33,2021-10-04,0.2218,0.249,0.2119,0.2414,0.2414,3281218340
34,2021-10-05,0.2415,0.268,0.2325,0.2516,0.2516,3796153741
35,2021-10-06,0.2517,0.2719,0.2422,0.2541,0.2541,3681509190
36,2021-10-07,0.2542,0.257,0.2357,0.2428,0.2428,2142393485
37,2021-10-08,0.2429,0.2549,0.2414,0.2441,0.2441,1381822126
38,2021-10-09,0.2442,0.2527,0.2407,0.2467,0.2467,1073585552
39,2021-10-10,0.2467,0.2487,0.226,0.2288,0.2288,977648960
